sncb_stream$start:UINT64,sncb_stream$end:UINT64,sncb_stream$varBP:FLOAT64,sncb_stream$varFF:FLOAT64,sncb_stream$cnt:UINT64
1722623000,1722633000,5.058,5.006,409
1722623200,1722633200,5.058,5.006,379
1722623400,1722633400,5.058,5.006,358
1722622800,1722632800,5.058,5.006,452
1722623800,1722633800,5.058,5.006,374
1722621400,1722631400,5.058,5.433,675
1722624000,1722634000,5.058,5.006,409
1722624200,1722634200,5.058,5.006,417
1722623600,1722633600,5.058,5.006,364
1722624400,1722634400,5.058,5.006,412
1722624600,1722634600,5.058,5.006,422
1722624800,1722634800,5.058,5.006,439
1722625400,1722635400,5.058,5.006,477
1722625200,1722635200,5.058,5.006,465
1722625600,1722635600,5.058,5.006,490
1722625000,1722635000,5.058,5.006,460
1722625800,1722635800,5.058,5.006,529
1722626000,1722636000,5.058,5.006,562
1722626200,1722636200,5.058,5.006,600
1722626400,1722636400,5.058,5.006,639
1722626600,1722636600,5.058,5.006,684
1722627000,1722637000,5.058,5.006,785
1722626800,1722636800,5.058,5.006,734
1722627200,1722637200,5.058,5.006,833
1722627400,1722637400,5.058,5.006,893
1722627800,1722637800,5.058,5.006,973
1722628000,1722638000,5.058,5.006,991
1722628600,1722638600,5.058,5.006,1042
1722628400,1722638400,5.058,5.006,991
1722627600,1722637600,5.058,5.006,932
1722628800,1722638800,5.058,5.032,1077
1722628200,1722638200,5.058,5.006,991
1722629000,1722639000,5.058,5.032,1114
1722629200,1722639200,5.058,5.032,1158
1722629400,1722639400,5.058,5.032,1215
1722629600,1722639600,5.058,5.032,1251
1722629800,1722639800,5.058,5.032,1292
1722630000,1722640000,5.058,5.032,1335
1722630200,1722640200,5.058,5.032,1363
1722630400,1722640400,5.058,5.032,1404
1722630600,1722640600,5.058,5.032,1450
1722630800,1722640800,5.058,5.032,1493
1722631000,1722641000,5.058,5.032,1534
1722631200,1722641200,5.058,5.032,1577
1722631400,1722641400,5.058,5.032,1633
1722631600,1722641600,5.058,5.032,1644
1722631800,1722641800,5.058,5.032,1644
1722632000,1722642000,5.058,5.032,1689
1722632200,1722642200,5.058,5.032,1726
1722632400,1722642400,5.058,5.032,1762
1722632600,1722642600,5.058,5.032,1805
1722632800,1722642800,5.058,5.032,1849
1722633000,1722643000,5.058,5.032,1896
1722633200,1722643200,5.058,5.032,1949
1722633400,1722643400,5.058,5.032,1970
1722633600,1722643600,5.058,5.032,1983
1722633800,1722643800,5.058,5.032,1989
1722634000,1722644000,5.058,5.032,1979
1722634400,1722644400,5.058,5.032,1966
1722634200,1722644200,5.058,5.032,1972
1722634600,1722644600,5.058,5.032,1959
1722634800,1722644800,5.058,5.032,1957
1722635000,1722645000,5.058,5.032,1953
1722635200,1722645200,5.058,5.032,1945
1722635400,1722645400,5.043,5.032,1959
1722635800,1722645800,5.043,5.032,1980
1722635600,1722645600,5.043,5.032,1974
1722636000,1722646000,5.043,5.032,1999
1722636200,1722646200,5.043,5.032,2006
1722636400,1722646400,5.043,5.032,2013
1722636600,1722646600,5.01,5.032,2024
1722636800,1722646800,5.01,5.032,2019
1722637200,1722647200,5.01,5.032,2008
1722637000,1722647000,5.01,5.032,2013
1722637400,1722647400,5.01,5.032,1994
1722637600,1722647600,5.01,5.032,1997
1722637800,1722647800,5.01,5.032,1987
1722638000,1722648000,5.01,5.032,2001
1722638400,1722648400,5.01,5.032,2075
1722638200,1722648200,5.01,5.032,2037
1722638600,1722648600,5.01,5.032,2072
1722638800,1722648800,5.01,5.032,2082
1722639000,1722649000,5.006,5.017,2086
1722639200,1722649200,5.021,3.821,2074
1722639600,1722649600,5.036,3.821,2061
1722639400,1722649400,5.021,3.821,2061
1722639800,1722649800,5.036,3.843,2054
1722640000,1722650000,5.036,3.843,2060
1722640200,1722650200,5.036,3.843,2071
